subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
12,sentence-post,,,3190.2599999993,1,,
12,sentence-post,,,3106.0550000002,1,,
12,recall-post,1,4,4383.1500000013,1,KNPY,KNPY
12,sentence-post,,,5500.2349999994,1,,
12,sentence-post,,,3695.2449999992,1,,
12,sentence-post,,,3832.6400000006,1,,
12,sentence-post,,,6505.3450000011,0,,
12,sentence-post,,,5966.6049999981,1,,
12,recall-post,2,5,7207.1350000002,0,NTSJL,TNS
12,sentence-post,,,5071.0249999971,1,,
12,sentence-post,,,4441.3299999977,1,,
12,sentence-post,,,4822.5800000001,1,,
12,sentence-post,,,6411.9849999989,1,,
12,sentence-post,,,4989.1700000009,1,,
12,sentence-post,,,4526.7800000003,1,,
12,recall-post,3,6,14168.535000001,0,LHQPFR,NHQTS
12,sentence-post,,,3091.375,1,,
12,sentence-post,,,4321.0300000031,1,,
12,sentence-post,,,4854.5800000029,1,,
12,sentence-post,,,3959.6950000012,1,,
12,sentence-post,,,5427.6800000006,1,,
12,sentence-post,,,4999.1849999968,1,,
12,recall-post,4,6,13268.039999999,0,QKYSPH,QKY
12,sentence-post,,,4657.7650000001,1,,
12,sentence-post,,,5471.5599999977,1,,
12,sentence-post,,,4329.5250000008,1,,
12,sentence-post,,,4672.260000003,1,,
12,sentence-post,,,3512.0749999988,1,,
12,recall-post,5,5,4816.8800000018,1,KYRFN,KYRFN
12,sentence-post,,,4532.2249999992,1,,
12,sentence-post,,,4715.3199999994,1,,
12,sentence-post,,,2322.3749999995,1,,
12,sentence-post,,,4027.689999999,1,,
12,recall-post,6,4,7830.3249999993,0,FSRN,FTRS
24,sentence-pre,,,4196.385,1,,
24,sentence-pre,,,3744.4800000001,1,,
24,sentence-pre,,,3346.365,1,,
24,sentence-pre,,,3072.14,1,,
24,sentence-pre,,,2882.955,1,,
24,sentence-pre,,,4565.145,1,,
24,recall-pre,1,6,16926.795,1,YFLSNH,YFLSNH
24,sentence-pre,,,4365.27,1,,
24,sentence-pre,,,4457.3,0,,
24,sentence-pre,,,4782.72,1,,
24,sentence-pre,,,3182.3099999999,1,,
24,sentence-pre,,,4543.6100000001,1,,
24,sentence-pre,,,3996.655,0,,
24,recall-pre,2,6,11333.77,0,TQPNJY,TQPJY
24,sentence-pre,,,4390.7,1,,
24,sentence-pre,,,4497.4000000001,0,,
24,sentence-pre,,,3529.99,1,,
24,sentence-pre,,,3619.835,1,,
24,sentence-pre,,,3268.085,1,,
24,recall-pre,3,5,10436.685,1,QSLNH,QSLNH
24,sentence-pre,,,3104.47,1,,
24,sentence-pre,,,3385.7,1,,
24,sentence-pre,,,3230.395,1,,
24,sentence-pre,,,4094.7150000001,1,,
24,recall-pre,4,4,9135.9749999999,1,NPJS,NPJS
24,sentence-pre,,,3146.45,1,,
24,sentence-pre,,,4013.3400000001,1,,
24,sentence-pre,,,2436.45,1,,
24,sentence-pre,,,3721.02,1,,
24,recall-pre,5,4,8124.075,1,QPJN,QPJN
24,sentence-pre,,,4717.035,1,,
24,sentence-pre,,,3271.545,0,,
