groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,8,sentence-pre,,,5951.0399999854,1,,
transc,8,recall-pre,5,6,8884.4800000079,0,NSPLTJ,_LNQJ
transc,8,sentence-pre,,,7586.0199999879,1,,
transc,8,sentence-pre,,,5275.569999998,1,,
transc,8,sentence-pre,,,7270.4000000085,1,,
transc,8,sentence-pre,,,4228.2000000123,1,,
transc,8,sentence-pre,,,4339.799999987,1,,
transc,8,sentence-pre,,,3775.0150000211,1,,
transc,8,recall-pre,6,6,7404.0699999896,1,NRTLJY,NRTLJY
transc,8,sentence-post,,,4007.0150000104,1,,
transc,8,sentence-post,,,4289.5099999728,1,,
transc,8,sentence-post,,,3616.3599999854,1,,
transc,8,sentence-post,,,3543.425000011,1,,
transc,8,sentence-post,,,9305.8550000135,1,,
transc,8,sentence-post,,,5202.7299999897,1,,
transc,8,recall-post,1,6,21429.635000007,0,LYSNTK,LYSNT
transc,8,sentence-post,,,5434.6199999852,1,,
transc,8,sentence-post,,,7484.7599999919,0,,
transc,8,sentence-post,,,2510.7699999935,1,,
transc,8,sentence-post,,,3503.6600000169,1,,
transc,8,sentence-post,,,4296.3449999806,1,,
transc,8,recall-post,2,5,7581.0599999968,0,LPFRH,LYPRH
transc,8,sentence-post,,,7910.5850000056,0,,
transc,8,sentence-post,,,4641.9049999965,1,,
transc,8,sentence-post,,,3417.1300000157,1,,
transc,8,sentence-post,,,4543.3900000062,1,,
transc,8,recall-post,3,4,6850.4750000141,1,RJLF,RJLF
transc,8,sentence-post,,,3706.8199999919,1,,
transc,8,sentence-post,,,3019.2950000055,1,,
transc,8,sentence-post,,,3425.894999993,1,,
transc,8,sentence-post,,,4592.0299999993,1,,
transc,8,sentence-post,,,4784.1800000174,1,,
transc,8,sentence-post,,,3995.9349999842,1,,
transc,8,recall-post,4,6,8132.1449999814,0,PSHRYJ,P_HLRJ
transc,8,sentence-post,,,3567.6149999779,1,,
transc,8,sentence-post,,,3156.7400000058,1,,
transc,8,sentence-post,,,2673.1900000013,1,,
transc,8,sentence-post,,,3702.8649999993,1,,
transc,8,sentence-post,,,3743.1599999839,1,,
transc,8,recall-post,5,5,6654.1649999856,1,RJYHN,RJYHN
transc,8,sentence-post,,,3965.7650000011,1,,
transc,8,sentence-post,,,7157.8299999819,1,,
transc,8,sentence-post,,,3179.0700000129,1,,
