,groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled,sim,dist
274,transc,8,sentence-post,,,4784.1800000174,1,,,1.0,0.0
275,transc,8,sentence-post,,,3995.9349999842,1,,,1.0,0.0
276,transc,8,recall-post,4.0,6.0,8132.1449999814,0,PSHRYJ,P_HLRJ,0.5,0.5
277,transc,8,sentence-post,,,3567.6149999779,1,,,1.0,0.0
278,transc,8,sentence-post,,,3156.7400000058,1,,,1.0,0.0
279,transc,8,sentence-post,,,2673.1900000013,1,,,1.0,0.0
280,transc,8,sentence-post,,,3702.8649999993,1,,,1.0,0.0
281,transc,8,sentence-post,,,3743.1599999839,1,,,1.0,0.0
282,transc,8,recall-post,5.0,5.0,6654.1649999856,1,RJYHN,RJYHN,1.0,0.0
283,transc,8,sentence-post,,,3965.7650000011,1,,,1.0,0.0
284,transc,8,sentence-post,,,7157.8299999819,1,,,1.0,0.0
285,transc,8,sentence-post,,,3179.0700000129,1,,,1.0,0.0
286,transc,8,sentence-post,,,4668.5449999934,1,,,1.0,0.0
287,transc,8,recall-post,6.0,4.0,6133.4499999941,1,LJKR,LJKR,1.0,0.0
288,transc,10,sentence-pre,,,3085.0,1,,,1.0,0.0
289,transc,10,sentence-pre,,,2912.0,1,,,1.0,0.0
290,transc,10,sentence-pre,,,3399.0,1,,,1.0,0.0
291,transc,10,sentence-pre,,,3573.0,1,,,1.0,0.0
292,transc,10,sentence-pre,,,3944.0,1,,,1.0,0.0
293,transc,10,sentence-pre,,,4592.0,1,,,1.0,0.0
294,transc,10,recall-pre,1.0,6.0,12805.0,1,PHJYSR,PHJYSR,1.0,0.0
295,transc,10,sentence-pre,,,3366.0,1,,,1.0,0.0
296,transc,10,sentence-pre,,,3724.0,1,,,1.0,0.0
297,transc,10,sentence-pre,,,3105.0,1,,,1.0,0.0
298,transc,10,sentence-pre,,,4015.0,1,,,1.0,0.0
299,transc,10,sentence-pre,,,3302.0,1,,,1.0,0.0
300,transc,10,recall-pre,2.0,5.0,13629.0,0,KLYHS,KLYR,0.6,0.4
301,transc,10,sentence-pre,,,3630.0,1,,,1.0,0.0
302,transc,10,sentence-pre,,,2898.0,1,,,1.0,0.0
303,transc,10,sentence-pre,,,3542.0,1,,,1.0,0.0
304,transc,10,sentence-pre,,,3848.0,1,,,1.0,0.0
305,transc,10,sentence-pre,,,3936.0,1,,,1.0,0.0
306,transc,10,recall-pre,3.0,5.0,9741.0,0,TYJKP,TY_KP,0.8,0.2
307,transc,10,sentence-pre,,,3264.0,1,,,1.0,0.0
308,transc,10,sentence-pre,,,3415.0,1,,,1.0,0.0
309,transc,10,sentence-pre,,,4845.0,1,,,1.0,0.0
310,transc,10,sentence-pre,,,5124.0,0,,,1.0,0.0
311,transc,10,recall-pre,4.0,4.0,8472.0,0,QFHL,QP_L,0.5,0.5
312,transc,10,sentence-pre,,,4466.0,1,,,1.0,0.0
313,transc,10,sentence-pre,,,2299.0,1,,,1.0,0.0
314,transc,10,sentence-pre,,,2809.0,1,,,1.0,0.0
315,transc,10,sentence-pre,,,5312.0,1,,,1.0,0.0
316,transc,10,sentence-pre,,,5133.0,1,,,1.0,0.0
317,transc,10,sentence-pre,,,4873.0,1,,,1.0,0.0
318,transc,10,recall-pre,5.0,6.0,11927.0,1,SNTQKF,SNTQKF,1.0,0.0
319,transc,10,sentence-pre,,,4519.0,1,,,1.0,0.0
320,transc,10,sentence-pre,,,4425.0,1,,,1.0,0.0
321,transc,10,sentence-pre,,,3340.0,1,,,1.0,0.0
322,transc,10,sentence-pre,,,3143.0,1,,,1.0,0.0
323,transc,10,recall-pre,6.0,4.0,7643.0,1,LYST,LYST,1.0,0.0
324,transc,10,sentence-post,,,5583.0,1,,,1.0,0.0
325,transc,10,sentence-post,,,4733.0,1,,,1.0,0.0
326,transc,10,sentence-post,,,3401.0,1,,,1.0,0.0
327,transc,10,sentence-post,,,4229.0,1,,,1.0,0.0
328,transc,10,sentence-post,,,3458.0,0,,,1.0,0.0
329,transc,10,sentence-post,,,3993.0,1,,,1.0,0.0
330,transc,10,recall-post,1.0,6.0,8269.0,0,QHTRPN,QHTPR_,0.5,0.5
331,transc,10,sentence-post,,,3682.0,0,,,1.0,0.0
332,transc,10,sentence-post,,,4463.0,0,,,1.0,0.0
333,transc,10,sentence-post,,,3483.0,1,,,1.0,0.0
334,transc,10,sentence-post,,,3955.0,1,,,1.0,0.0
335,transc,10,sentence-post,,,3353.0,1,,,1.0,0.0
336,transc,10,recall-post,2.0,5.0,6291.0,1,TNLKF,TNLKF,1.0,0.0
337,transc,10,sentence-post,,,3374.0,1,,,1.0,0.0
338,transc,10,sentence-post,,,3176.0,1,,,1.0,0.0
339,transc,10,sentence-post,,,2573.0,1,,,1.0,0.0
340,transc,10,sentence-post,,,3266.0,1,,,1.0,0.0
341,transc,10,sentence-post,,,3261.0,1,,,1.0,0.0
342,transc,10,recall-post,3.0,5.0,17775.0,0,KFLSR,KLQF_,0.19999999999999996,0.8
343,transc,10,sentence-post,,,2996.0,1,,,1.0,0.0
344,transc,10,sentence-post,,,3830.0,1,,,1.0,0.0
345,transc,10,sentence-post,,,2679.0,1,,,1.0,0.0
346,transc,10,sentence-post,,,4710.0,1,,,1.0,0.0
347,transc,10,sentence-post,,,4377.0,1,,,1.0,0.0
348,transc,10,sentence-post,,,4833.0,1,,,1.0,0.0
349,transc,10,recall-post,4.0,6.0,9284.0,0,NSYHLR,_____R,0.16666666666666663,0.8333333333333334
350,transc,10,sentence-post,,,4881.0,1,,,1.0,0.0
351,transc,10,sentence-post,,,3644.0,1,,,1.0,0.0
352,transc,10,sentence-post,,,4548.0,1,,,1.0,0.0
353,transc,10,sentence-post,,,3688.0,1,,,1.0,0.0
354,transc,10,recall-post,5.0,4.0,5221.0,1,STHN,STHN,1.0,0.0
355,transc,10,sentence-post,,,3530.0,1,,,1.0,0.0
356,transc,10,sentence-post,,,4463.0,1,,,1.0,0.0
357,transc,10,sentence-post,,,2375.0,1,,,1.0,0.0
358,transc,10,sentence-post,,,4079.0,1,,,1.0,0.0
359,transc,10,recall-post,6.0,4.0,6450.0,0,KPNY,KLPY,0.5,0.5
360,transc,20,sentence-pre,,,3850.0,1,,,1.0,0.0
361,transc,20,sentence-pre,,,4385.0,1,,,1.0,0.0
362,transc,20,sentence-pre,,,4785.0,1,,,1.0,0.0
363,transc,20,sentence-pre,,,4738.0,1,,,1.0,0.0
364,transc,20,sentence-pre,,,4161.0,1,,,1.0,0.0
365,transc,20,recall-pre,1.0,5.0,8316.0,1,LNHSY,LNHSY,1.0,0.0
366,transc,20,sentence-pre,,,5942.0,1,,,1.0,0.0
367,transc,20,sentence-pre,,,3768.0,1,,,1.0,0.0
